"post","created","man"
"My man looks like he's reluctantly managing the Clampett family fortune",2026-08-30 22:21:41.183,"Scott Bessent"
"My man looks like his house has a separate bathroom for ""service employees""",2026-08-30 22:24:48.394,"Scott Bessent"
"My man looks like he owns multiple pairs of jodhpurs",2026-08-30 22:27:01.628,"Scott Bessent"
"My man looks like the captain of a haunted steamboat",2026-08-30 22:32:17.028,"Scott Bessent"
"My man looks like he eats pizza with a knife and fork",2026-08-30 22:38:07.619,"Scott Bessent"
"My man looks like Edward Hermann was cast in MARGIN CALL",2026-08-30 22:39:39.667,"Scott Bessent"
"My man looks like he refers to the Upper West Side as ""the ghetto""",2026-08-30 22:40:44.781,"Scott Bessent"
"My man looks like Richie Rich with the Benjamin Button disease",2026-08-30 22:41:11.034,"Scott Bessent"
"My man looks like he runs logistics for the Galactic Empire",2026-08-30 22:45:06.706,"Scott Bessent"
"My man looks like Andrew Rannells celebrating his 100,000th performance of THE BOOK OF MORMON",2026-08-30 22:47:53.905,"Scott Bessent"
"My man looks like he owns a twelve-bedroom mansion that's decorated entirely in black and white",2026-08-30 22:48:56.662,"Scott Bessent"
"My man looks like he plays Monopoly with real-world properties",2026-08-30 22:49:46.034,"Scott Bessent"
"My man looks like he's hell-bent on expelling those troublemakers in Chug-a-Lug House",2026-08-30 22:52:37.3,"Scott Bessent"
"My man looks like he owns an extensive record collection of white jazz musicians",2026-08-30 22:53:22.858,"Scott Bessent"
"My man looks like a state trooper just found the drifter's corpse in his trunk",2026-08-30 23:38:25.89,"Scott Bessent"
"My man looks like he thinks Scrooge McDuck is an example of class warfare",2026-08-30 23:39:01.391,"Scott Bessent"
"My man looks like he asked to see the wine list at a Denny's",2026-08-30 23:39:20.078,"Scott Bessent"
"My man looks like an evil program from the TRON universe",2026-08-30 23:43:47.867,"Scott Bessent"
"My man looks like he's deeply skeptical that you are, in fact, Abe Froman, the sausage king of Chicago.",2026-08-30 23:45:07.228,"Scott Bessent"
"My man looks like Clarence Boddicker got a toupee",2026-08-30 23:46:53.773,"Scott Bessent"
"My man looks like Germany's Federal Minister of Schadenfreude",2026-08-31 00:02:38.062,"Scott Bessent"
"My man looks like he's nervously hiding the zombie bite",2026-08-31 00:04:03.303,"Scott Bessent"
"My man looks like the heir to a dirigible fortune",2026-08-31 00:27:41.527,"Scott Bessent"
"My man looks like he invented an AI that runs on orphans",2026-08-31 00:28:27.254,"Scott Bessent"
"My man looks like Cold Miser went to a stylist",2026-08-31 00:33:26.548,"Scott Bessent"
"My man looks like he puts on latex gloves to eat a hamburger",2026-08-31 00:36:11.671,"Scott Bessent"
"My man looks like the robber baron who ran Confederated Italians",2026-08-31 00:37:01.238,"Scott Bessent"
"My man looks like the member of Harding's Cabinet who set the record for scandals",2026-08-31 00:38:17.794,"Scott Bessent"
"My man looks like a superhero whose power is Bryl Cream",2026-08-31 00:38:49.85,"Scott Bessent"
"My man looks like he did some modeling work for Joseph Goebbels",2026-08-31 00:41:57.121,"Scott Bessent"
"My man looks like he's explaining to the congregation that he was *ministering* to that prostitute",2026-08-31 00:52:10.093,"Scott Bessent"
"My man looks like he's just been humiliated by the Three Stooges",2026-08-31 00:57:27.667,"Scott Bessent"
"My man looks like he has ways of making you talk",2026-08-31 01:03:20.718,"Scott Bessent"
"My man looks like the Gray Gatsby",2026-08-31 01:08:32.522,"Scott Bessent"
"My man looks like Franklin Delano Rasputin",2026-08-31 01:16:23.991,"Scott Bessent"
"My man looks like a muppet weatherman",2026-08-31 01:25:36.454,"Scott Bessent"
"My man looks like a funeral director currently under indictment",2026-08-31 01:26:39.722,"Scott Bessent"
"My man looks like he races peacocks",2026-08-31 01:28:24.37,"Scott Bessent"
"My man looks like a stock photo for “yuppie prick”",2026-08-31 01:29:05.444,"Scott Bessent"
"My man looks like a recreational mortician",2026-08-31 01:29:38.3,"Scott Bessent"
"My man looks like he pronounces it “la-BOR-atory“",2026-08-31 01:30:41.828,"Scott Bessent"
"My man looks like he’s in a Thomas Dolby video",2026-08-31 01:31:41.586,"Scott Bessent"
"My man looks like he's legal counsel to the vampire gang in LOST BOYS",2026-08-31 13:05:28.99,"Scott Bessent"
"My man looks like a Swiss banker who caters to the cartels",2026-08-31 13:06:20.399,"Scott Bessent"
"My man looks like head chef at a bistro that boasts of ""a selection of curated aiolis""",2026-08-31 13:06:59.574,"Scott Bessent"
"My man looks like a mobster nicknamed ""Opie""",2026-08-31 13:07:16.875,"Scott Bessent"
"My man looks like a daguerreotype of a riverboat gambler",2026-08-31 13:07:45.972,"Scott Bessent"
"My man looks like a bad guy defeated by the Powerpuff Girls",2026-08-31 13:08:11.449,"Scott Bessent"
"My man looks like a magician who's chasing Frosty the Snowman",2026-08-31 13:08:33.795,"Scott Bessent"
"My man looks like he says ""heaven forfend""",2026-08-31 13:08:53.049,"Scott Bessent"
"My man looks like a horse wearing a Michael Douglas mask",2026-08-31 13:09:09.411,"Scott Bessent"
"My man looks like the high-priced defense attorney representing Scott Baio on an episode of Law & Order",2026-08-31 13:09:40.243,"Scott Bessent"
"My man looks like his safe word is ""fiduciary""",2026-08-31 13:10:08.055,"Scott Bessent"
"My man looks like an AI-generated image of Gary Busey",2026-08-31 13:10:30.591,"Scott Bessent"
"My man looks like a john Dirty Harry chases out of the motel room so he can question the call girl",2026-08-31 13:11:25.134,"Scott Bessent"
"My man looks like he finds you to be quite insouciant",2026-08-31 13:12:03.709,"Scott Bessent"
"My man looks like a florist who was caught by Columbo",2026-08-31 13:13:43.094,"Scott Bessent"
"My man looks like an action figure from THE MAN IN THE GRAY FLANNEL SUIT",2026-08-31 13:14:39.733,"Scott Bessent"
"My man looks like he's monologuing about his plans to freeze all of Gotham",2026-08-31 13:15:06.627,"Scott Bessent"
"My man looks like he's from a Stephen King short story called VENEERS",2026-08-31 14:38:40.529,"Scott Bessent"
"My man looks like he's dealing baccarat to James Bond",2026-08-31 14:38:57.379,"Scott Bessent"
"My man looks like Jimmy Neutron made partner",2026-08-31 14:40:00.082,"Scott Bessent"
"My man looks like an investor who stole patents from Thomas Edison",2026-08-31 14:41:17.119,"Scott Bessent"
"My man looks like a Dick Tracy rogue named ""Choppers""",2026-08-31 14:42:18.424,"Scott Bessent"
"My man looks like Will Ferrell portraying FDR",2026-08-31 15:58:54.215,"Scott Bessent"
"My man looks like Patrick Bateman, Sr.",2026-08-31 15:59:11.32,"Scott Bessent"
"My man looks like he's riding in a Rolls Royce pursued by Indiana Jones",2026-08-31 16:00:54.555,"Scott Bessent"
"My man looks like he owns a ski lodge called ""the Eagles' Nest""",2026-08-31 16:01:50.068,"Scott Bessent"
"My man looks like he tried to wear a monocle for both eyes",2026-08-31 16:02:55.778,"Scott Bessent"
"My man looks like he complained to the mayor about urchins befouling the park",2026-08-31 16:05:12.936,"Scott Bessent"
"My man looks like Ask Jeeves achieved sentience",2026-08-31 16:10:06.244,"Scott Bessent"
"My man looks like the purser on the HMS Titanic",2026-08-31 16:52:14.102,"Scott Bessent"
"My man looks like he orchestrated the public relations campaign for BIRTH OF A NATION",2026-08-31 16:52:37.021,"Scott Bessent"
"My man looks like he's leading the Royal Navy's hunt for Captain Jack Sparrow",2026-08-31 16:53:20.497,"Scott Bessent"
"My man looks like he was identified in the Nuremburg trials as ""the accountant of Auschwitz""",2026-08-31 16:56:03.578,"Scott Bessent"
"My man looks like the befuddled father on a 1950s sitcom called ""Stick That In Your Pipe""",2026-08-31 16:56:50.795,"Scott Bessent"
"My man looks like the conductor on a segregated railroad",2026-08-31 16:58:10.604,"Scott Bessent"
"My man looks like he just learned the groom is Irish",2026-08-31 16:58:41.337,"Scott Bessent"
"My man looks like he's pitching a reverse mortgage on late night TV",2026-08-31 16:59:51.914,"Scott Bessent"
"My man looks like his portrait is featured in Disney World's Haunted Mansion",2026-08-31 17:43:32.782,"Scott Bessent"
"My man looks like Alec Baldwin got dental implants",2026-08-31 17:52:14.112,"Scott Bessent"
"My man looks like a marionette from TEAM AMERICA: WORLD POLICE",2026-08-31 19:31:17.546,"Scott Bessent"
"My man looks like he's the Chief Financial Officer for COBRA",2026-08-31 19:32:05.89,"Scott Bessent"
"My man looks like he's heading out on a fox hunt",2026-08-31 19:32:46.132,"Scott Bessent"
"My man looks like live-action Sam the Eagle",2026-08-31 19:33:50.874,"Scott Bessent"
"My man looks like a tobacco executive sitting for a deposition",2026-08-31 19:34:45.339,"Scott Bessent"
"My man looks like an apparition the people of Widow's Bay call ""the vice principal""",2026-08-31 19:37:11.363,"Scott Bessent"
"My man looks like Fred Willard in a made-for-TV movie about the Rockefellers",2026-08-31 20:40:29.923,"Scott Bessent"
"My man looks like he's just slapped two black leather gloves into his other palm",2026-08-31 20:41:34.133,"Scott Bessent"
"My man looks like an actor who's been reduced to ads about erectile dysfunction",2026-08-31 20:43:55.047,"Scott Bessent"
"My man looks like he calls middle-class people ""the second homeless""",2026-08-31 20:44:53.931,"Scott Bessent"
"My man looks like a tailor for the mob",2026-08-31 20:45:41.801,"Scott Bessent"
"My man looks like a Wehrmacht general musing about ""acceptable losses""",2026-08-31 20:45:50.577,"Scott Bessent"
"My man looks like he stepped out of a Sinclair Lewis novel",2026-08-31 20:47:25.731,"Scott Bessent"
"My man looks like he has a supply of slippers for all visitors to his home",2026-08-31 20:48:44.915,"Scott Bessent"
"My man looks like he's opposed to mixed doubles on political grounds",2026-08-31 20:49:48.432,"Scott Bessent"
"My man looks like he hosts a Federal Network news show on STARSHIP TROOPERS",2026-08-31 20:53:38.241,"Scott Bessent"
"My man looks like he wears monogrammed pajamas",2026-08-31 21:16:37.42,"Scott Bessent"
"My man looks like he’s working the red carpet for the Hunger Games",2026-08-31 21:18:59.117,"Scott Bessent"
"My man looks like George Bailey and Mr. Potter had a son",2026-08-31 21:19:57.529,"Scott Bessent"
"My man looks like he runs an exclusive bistro called Silver Spoons",2026-08-31 21:21:01.442,"Scott Bessent"
"My man looks like a Hyperdyne Systems android who just calculated that the crew of the Nostromo is expendable",2026-09-01 00:23:42.357,"Scott Bessent"
"My man looks like he rode the bus once ""for a lark""",2026-09-01 00:24:47.369,"Scott Bessent"
"My man looks like he's introducing a product his division is marketing as ""the urban pacification drone""",2026-09-01 00:26:06.209,"Scott Bessent"
"My man looks like the Fuddrucker Proxy",2026-09-01 00:26:36.347,"Scott Bessent"
"My man looks like he's asking about your TPS reports again",2026-09-01 00:27:34.055,"Scott Bessent"
"My man looks like he's demanding an end to all this horseplay in the hallways",2026-09-01 00:31:36.991,"Scott Bessent"
"My man looks like Jeff Bridges in FUCKER: THE MAN AND HIS DREAM",2026-09-01 00:34:14.567,"Scott Bessent"
"My man looks like his grandfather somehow made a windfall from the Triangle Shirtwaist Factory fire",2026-09-01 00:35:46.497,"Scott Bessent"
"My man looks like his business cards have an eggshell coloring, raised letters, a tasteful watermark and an occupation of ""obergruppenführer""",2026-09-01 00:39:12.902,"Scott Bessent"
"My man looks like he's not just the president of the Teeth Club for Men, he's their number one client",2026-09-01 00:40:53.918,"Scott Bessent"
"My man looks like he hosts a game show called EVICTION!",2026-09-01 00:46:14.291,"Scott Bessent"
"My man looks like he staged a coup at the United States Polo Association",2026-09-01 00:49:40.878,"Scott Bessent"
"My man looks like he's had a caddie deported",2026-09-01 00:50:04.228,"Scott Bessent"
"My man looks like a PragerU cartoon where they yassified Thomas Jefferson",2026-09-01 01:15:23.711,"Scott Bessent"
"My man looks like his autobiography is titled ""My Struggle""",2026-09-01 01:15:40.958,"Scott Bessent"
"My man looks like his favorite cocktail is gin, vermouth and a splash from a carafe labeled ""Peasants' Tears""",2026-09-01 01:33:10.715,"Scott Bessent"
"My man looks like he's informing you Count Dracula will see you now",2026-09-01 01:34:03.622,"Scott Bessent"
"My man looks like Jerry O'Connell from the ""In Memoriam"" montage at the 2058 Oscars",2026-09-01 01:36:37.191,"Scott Bessent"
"My man looks like a real estate developer who's going to bulldoze the rec center",2026-09-01 01:38:23.198,"Scott Bessent"
"My man looks like a Lego figurine of Harry Truman",2026-09-01 01:41:31.35,"Scott Bessent"
"My man looks like he's trying to smile in the ""Black Hole Sun"" video",2026-09-01 01:42:27.416,"Scott Bessent"
"My man looks like he embezzled from his orthodontist office",2026-09-01 01:43:23.71,"Scott Bessent"
"My man looks like Val Kilmer playing Donald Rumsfeld",2026-09-01 01:48:49.772,"Scott Bessent"
"My man looks like he owns a Hooters-branded Discover Card",2026-09-04 15:11:39.333,"Markwayne Mullin"
"My man looks like a regular at the jail under Eagles Stadium",2026-09-04 15:12:10.183,"Markwayne Mullin"
"My man looks like the Zach Galifinakis character in a stage production of THE HANGOVER PART III",2026-09-04 15:12:55.325,"Markwayne Mullin"
"My man looks like Chris Evans playing Captain America First",2026-09-04 15:13:11.634,"Markwayne Mullin"
"My man looks like he has a tattoo of Calvin pissing on a Ford logo",2026-09-04 15:13:28.881,"Markwayne Mullin"
"My man looks like he tucks a golf shirt into dress shorts",2026-09-04 15:14:04.586,"Markwayne Mullin"
"My man looks like he had his wedding reception at a Zaxby's",2026-09-04 15:14:21.862,"Markwayne Mullin"
"My man looks like he adapted a riding mower to roll coal",2026-09-04 15:14:43.587,"Markwayne Mullin"
"My man looks like Leonidas from 300 pledged Kappa Alpha",2026-09-04 15:15:03.754,"Markwayne Mullin"
"My man looks like he could open a longneck with his bellybutton",2026-09-04 15:15:35.451,"Markwayne Mullin"
"My man looks like he wears ostrich boots with lifts",2026-09-04 15:15:52.997,"Markwayne Mullin"
"My man looks like he drives an F-150 with a bewildering combination of bumper stickers",2026-09-04 15:16:21.473,"Markwayne Mullin"
"My man looks like he asks how come *we* don't get to say that?",2026-09-04 15:16:46.73,"Markwayne Mullin"
"My man looks like Tom Hardly",2026-09-04 15:17:00.672,"Markwayne Mullin"
"My man looks like he's surprised Flash Gordon's alive",2026-09-04 15:17:26.114,"Markwayne Mullin"
"My man looks like redneck Lionel Messi",2026-09-04 15:17:57.914,"Markwayne Mullin"
"My man looks like Kendall Roy found Jesus",2026-09-04 15:18:39.41,"Markwayne Mullin"
"My man looks like the wrestling coach who teaches driver's ed",2026-09-04 15:18:55.151,"Markwayne Mullin"
"My man looks like he owns six kinds of camo",2026-09-04 15:19:13.459,"Markwayne Mullin"
"My man looks like he pronounces it ""terlet""",2026-09-04 15:19:29.344,"Markwayne Mullin"
"My man looks like Bluto in a community theater production of POPEYE",2026-09-04 15:19:55.272,"Markwayne Mullin"
"My man looks like he's corrected strangers' definitions of an assault rifle online",2026-09-04 15:20:25.376,"Markwayne Mullin"
"My man looks like he's sucker punched a nun",2026-09-04 15:20:38.142,"Markwayne Mullin"
"My man looks like Hans Gruber if he took hostages at a Tractor Supply Co.",2026-09-04 15:20:58.078,"Markwayne Mullin"
"My man looks like Ra's Al Gullible",2026-09-04 15:21:11.791,"Markwayne Mullin"
"My man looks like Chuck Norris officiating a wedding",2026-09-04 15:21:26.998,"Markwayne Mullin"
"My man looks like General Zod's mute sidekick",2026-09-04 15:21:57.08,"Markwayne Mullin"
"My man looks like a dirt farmer who literally farms dirt",2026-09-04 15:22:14.5,"Markwayne Mullin"
"My man looks like the deputy that waitress warned you about",2026-09-04 15:22:41.167,"Markwayne Mullin"
"My man looks like Slavoj Zizek after being kicked in the head by a mule",2026-09-04 15:23:00.001,"Markwayne Mullin"
"My man looks like a minor antagonist on The Righteous Gemstones",2026-09-04 15:23:18.867,"Markwayne Mullin"
"My man looks like Walter Sobchak on GLP-1",2026-09-04 15:23:52.004,"Markwayne Mullin"
"My man looks like a linebackers coach who punched out a rival mascot",2026-09-04 15:24:26.098,"Markwayne Mullin"
"My man looks like he has a duck blind in his man cave",2026-09-04 15:24:50.073,"Markwayne Mullin"
"My man looks like Ned Stark went to Supercuts",2026-09-04 15:25:13.133,"Markwayne Mullin"
"My man looks like a wax model of Ryan Gosling that was exposed to the elements",2026-09-04 15:26:05.193,"Markwayne Mullin"
"My man looks like a claymation model of JD Vance",2026-09-04 15:27:00.47,"Markwayne Mullin"
"My man looks like a garden gnome who manages an Arby's",2026-09-04 15:28:04.903,"Markwayne Mullin"
"My man looks like he needs a grappling hook to climb into his Silverado",2026-09-04 15:28:26.811,"Markwayne Mullin"
"My man looks like a deacon at a segregated church",2026-09-04 15:28:57.742,"Markwayne Mullin"
"My man looks like someone tried to draw Jake Gyllenhaal from memory",2026-09-04 15:29:16.447,"Markwayne Mullin"
"My man looks like he's trying to spell Jake Gyllenhaal from memory",2026-09-04 15:29:30.53,"Markwayne Mullin"
"My man looks like he has a lot of opinions about the WNBA, which he never watches",2026-09-04 15:31:03.555,"Markwayne Mullin"
"My man looks like he runs a Subway franchise that always smells like bleach",2026-09-04 15:31:41.288,"Markwayne Mullin"
"My man looks like he's pissed this movie has subtitles",2026-09-04 15:33:54.556,"Markwayne Mullin"
"My man looks like he's about to get doused with a cooler of Gatorade",2026-09-04 15:34:26.302,"Markwayne Mullin"
"My man looks like Taylor Sheridan wrote for The West Wing",2026-09-04 15:36:13.227,"Markwayne Mullin"
"My man looks like he's gonna show those Earp boys what for",2026-09-04 15:38:52.197,"Markwayne Mullin"
"My man looks like he's asking the sommelier about their selection of Cheerwine",2026-09-04 15:42:32.397,"Markwayne Mullin"
"My man looks like he takes his coffee with one milk and eight sugar packets",2026-09-04 15:44:34.312,"Markwayne Mullin"
"My man looks like he bought truck nuts on layaway",2026-09-04 15:45:11.564,"Markwayne Mullin"
"My man looks like he burned his deck down deep-frying a turkey",2026-09-04 15:57:34.488,"Markwayne Mullin"
"My man looks like his house has a ""jerky pantry""",2026-09-04 15:57:54.023,"Markwayne Mullin"
"My man looks like he wears an ankle holster to church",2026-09-04 15:58:45.802,"Markwayne Mullin"
"My man looks like he goes to school board meetings even though he has no kids",2026-09-04 15:59:13.598,"Markwayne Mullin"
"My man looks like Guy Fieri can't believe what's in his chili",2026-09-04 15:59:51.294,"Markwayne Mullin"
"My man looks like he'll one day be gored on safari",2026-09-04 16:00:46.55,"Markwayne Mullin"
"My man looks like he minored in cornhole",2026-09-04 16:01:40.21,"Markwayne Mullin"
"My man looks like he's been thrown out of a feed and seed",2026-09-04 16:02:15.276,"Markwayne Mullin"
"My man looks like he films TikToks from the driver's seat of a Cybertruck",2026-09-04 16:04:22.493,"Markwayne Mullin"
"My man looks like a longtime listener, first-time caller",2026-09-04 16:05:42.532,"Markwayne Mullin"
"My man looks like he lost two fingers to fireworks",2026-09-04 16:06:29.741,"Markwayne Mullin"
"My man looks like he got a lifetime ban from Pop Warner",2026-09-04 16:07:11.008,"Markwayne Mullin"
"My man looks like he's asking if they have that Napoleon ice cream",2026-09-04 16:08:16.498,"Markwayne Mullin"
"My man looks like he's asking where ""my good Oakleys""are",2026-09-04 16:08:50.582,"Markwayne Mullin"
"My man looks like he's worn a groove in his lower lip from a lifetime of Skoal packets",2026-09-04 16:11:12.544,"Markwayne Mullin"
"My man looks like he's got a handgun lying loose in his junk drawer",2026-09-04 16:11:47.298,"Markwayne Mullin"
"My man looks like he's been detained at a water park",2026-09-04 16:12:56.988,"Markwayne Mullin"
"My man looks like his favorite cocktail is vodka and Diet Mountain Dew",2026-09-04 16:13:42.987,"Markwayne Mullin"
"My man looks like he wrote his congressman to get the McRib brought back",2026-09-04 16:14:00.646,"Markwayne Mullin"
"My man looks like he uses way too much lighter fluid",2026-09-04 16:15:43.636,"Markwayne Mullin"
"My man looks like he drinks way too much lighter fluid",2026-09-04 16:15:56.568,"Markwayne Mullin"
"My man looks like he had to ask Kenny Powers to bail him out",2026-09-04 16:16:21.329,"Markwayne Mullin"
"My man looks like Al Swearengen just called him a hooplehead",2026-09-04 16:16:54.479,"Markwayne Mullin"
"My man looks like he's explaining how you can finance this jet ski",2026-09-04 16:19:02.329,"Markwayne Mullin"
"My man looks like Raylan Givens is giving him a count to three",2026-09-04 16:19:44.287,"Markwayne Mullin"
"My man looks like Mongo only pawn in game of life",2026-09-04 16:22:50.537,"Markwayne Mullin"
"My man looks like Matt Damon in THE ODUMMY",2026-09-04 17:09:45.883,"Markwayne Mullin"
"My man looks like he's punched a drive-thru speaker",2026-09-04 17:10:49.996,"Markwayne Mullin"
"My man looks like he fired a warning shot at the mailman",2026-09-04 17:11:13.662,"Markwayne Mullin"
"My man looks like he's appearing in an ad for natural laxatives",2026-09-04 17:11:47.741,"Markwayne Mullin"
"My man looks like he gets enraged when they tell him to press 1 for Spanish",2026-09-04 17:14:44.502,"Markwayne Mullin"
"My man looks like he's scanning the ""Wife Birthday"" cards at a Publix",2026-09-04 17:15:53.471,"Markwayne Mullin"
"My man looks like he has a closet full of freeze-dried survivalist meals",2026-09-04 17:17:10.807,"Markwayne Mullin"
"My man looks like he's telling the waitress he actually can smoke here because he's a ""sovereign citizen""",2026-09-04 17:18:08.534,"Markwayne Mullin"
"My man looks like the avid listener of Ted Cruz's podcast",2026-09-04 17:18:33.892,"Markwayne Mullin"
"My man looks like he wore a golf visor to a court date",2026-09-04 17:21:11.049,"Markwayne Mullin"
"My man looks like the third Affleck brother, Toby",2026-09-04 17:22:41.579,"Markwayne Mullin"
"My man looks like his team has been doing work on your neighbor's house and noticed yours might need some new siding too",2026-09-04 17:25:13.152,"Markwayne Mullin"
"My man looks like he lives life a quarter-zip at a time",2026-09-04 17:25:45.866,"Markwayne Mullin"
"My man looks like he owns an airbrushed Sea-Doo",2026-09-04 17:27:29.066,"Markwayne Mullin"
"My man looks like he asked what kinda shapes they got chicken nuggets in here",2026-09-04 17:32:43.356,"Markwayne Mullin"
"My man looks like he wears tons of Oklahoma State merch but never went there",2026-09-04 17:38:16.254,"Markwayne Mullin"
"My man looks like he had his horse stolen by the Young Guns",2026-09-04 17:39:20.96,"Markwayne Mullin"
"My man looks like the DMV made him remove a cowboy hat for his license photo",2026-09-04 17:40:04.384,"Markwayne Mullin"
"My man looks like Pre Malone",2026-09-04 17:44:03.56,"Markwayne Mullin"
"My man looks like he uses the word ""tactical"" way too much",2026-09-04 17:45:23.138,"Markwayne Mullin"
"My man looks like he orders his hamburgers ""plain""",2026-09-04 17:49:07.032,"Markwayne Mullin"
"My man looks like his preferred cologne is Baja Blast",2026-09-04 17:49:51.455,"Markwayne Mullin"
"My man looks like he planned a family vacation to South of the Border",2026-09-04 17:52:18.959,"Markwayne Mullin"
"My man looks like his blood type is Duke’s Mayonnaise",2026-09-04 19:39:03.552,"Markwayne Mullin"
"My man looks like he tried to claim a six pack of Bud Light as carry-on luggage",2026-09-04 19:40:06.233,"Markwayne Mullin"
"My man looks like he was expelled from an anger management course",2026-09-04 19:41:24.133,"Markwayne Mullin"
"My man looks like he calls Hondas ”gay”",2026-09-04 19:42:38.151,"Markwayne Mullin"
"My man looks like he runs a crooked Jiffy Lube",2026-09-04 19:44:10.053,"Markwayne Mullin"
"My man looks like he recorded a country song about Osama bin Laden",2026-09-04 19:48:05.388,"Markwayne Mullin"
"My man looks like a knife throwing act on America’s Got Talent",2026-09-04 19:49:07.854,"Markwayne Mullin"
"My man looks like he had a Golden Corral chocolate fountain installed at home",2026-09-04 19:51:21.023,"Markwayne Mullin"
"My man looks like he lives on corn dogs and Monster energy drinks",2026-09-04 19:53:24.127,"Markwayne Mullin"
"My man looks like a blackjack dealer the pit boss is fixated on",2026-09-04 20:05:30.748,"Markwayne Mullin"
"My man looks like a contractor who just will not shut up about his ex-wife",2026-09-04 20:08:58.883,"Markwayne Mullin"
"My man looks like a G.I. Joe whose code name is Friendly Fire",2026-09-04 20:35:08.928,"Markwayne Mullin"
"My man looks like he starred in a porno parody as ""Toby Queef""",2026-09-04 22:43:02.073,"Markwayne Mullin"
"My man looks like a cop who keeps bouncing from department to department for some known reason",2026-09-04 22:43:57.326,"Markwayne Mullin"
"My man looks like he unsuccessfully chased some skateboarders",2026-09-04 22:44:28.307,"Markwayne Mullin"
"My man looks like he owns ""dress crocs""",2026-09-04 22:44:47.63,"Markwayne Mullin"
"My man looks like he drove a golf cart into a swimming pool",2026-09-04 22:45:35.822,"Markwayne Mullin"
"My man looks like he did a tragic three-episode arc on ""9-1-1 Nashville""",2026-09-04 22:47:22.96,"Markwayne Mullin"
"My man looks like he's got a nearly-filled punch card for family court",2026-09-04 22:47:56.613,"Markwayne Mullin"
"My man looks like he has fleece vests in six different shades of blue",2026-09-04 22:49:49.314,"Markwayne Mullin"
"My man looks like he's failed sideways",2026-09-04 22:51:43.44,"Markwayne Mullin"
"My man looks like he got into a fistfight at the Sizzler",2026-09-04 22:52:03.525,"Markwayne Mullin"
"My man looks like he was found passed out in the hotel lobby wearing only tighty-whiteys and cowboy boots",2026-09-04 22:53:24.733,"Markwayne Mullin"
"My man looks like he’s leading a class action suit against Dave & Busters",2026-09-04 23:13:10.697,"Markwayne Mullin"
"My man looks like Coach Ted Asshole",2026-09-04 23:13:46.838,"Markwayne Mullin"
"My man looks like Dabo Swinney converted to Islam",2026-09-05 02:48:24.654,"Markwayne Mullin"
"My man looks like he just whistled for you to run another lap",2026-09-05 03:45:14.284,"Markwayne Mullin"
"My man looks like Adam Sandler in a Martin Scorsese film about Cliven Bundy",2026-09-05 03:48:43.039,"Markwayne Mullin"
"My man looks like Adam Sandler in a Wes Anderson film about Ted Bundy",2026-09-05 03:49:06.458,"Markwayne Mullin"
"My man looks like he's a windbreaker away from becoming Special Agent in Charge",2026-09-05 03:50:27.362,"Markwayne Mullin"
"My man looks like a sheriff who tries to chase John Rambo out of his nice little mountain town",2026-09-05 03:51:13.245,"Markwayne Mullin"
"My man looks like a henchman who gets kicked in the groin by Jean Claude Van Damme",2026-09-05 03:52:24.754,"Markwayne Mullin"
"My man looks like Michael J. Fox in MIDDLE-AGED WOLF",2026-09-05 03:58:46.179,"Markwayne Mullin"
"My man looks like one of the GEICO Cavemen addressing the press about the allegations",2026-09-05 04:00:17.761,"Markwayne Mullin"
"My man looks like he's mouthing the instructions on a Hungry Man package in the frozen foods aisle",2026-09-05 04:06:24.637,"Markwayne Mullin"
"My man looks like he says you'll like the way you look, he guarantees it",2026-09-05 04:22:58.664,"Markwayne Mullin"
"My man looks like a Monchichi doll after rehab",2026-09-05 04:23:44.333,"Markwayne Mullin"
"My man looks like Macy's redressed the caveman exhibits at the museum",2026-09-05 04:25:15.755,"Markwayne Mullin"
"My man looks like an ex-con on The Flintstones",2026-09-05 04:25:52.611,"Markwayne Mullin"
"My man looks like he's giving an update on the task force tracking the Sheboygan Strangler",2026-09-05 15:56:36.481,"Markwayne Mullin"
"My man looks like a spaghetti western character known as The Man with No Game",2026-09-05 15:57:17.207,"Markwayne Mullin"
"My man looks like the action movie henchman who's so dumb the villain has to explain the plan to him again in simpler language",2026-09-05 16:06:51.979,"Markwayne Mullin"
"My man looks like Hans Grubby",2026-09-05 16:12:29.397,"Markwayne Mullin"
"My man looks like he's giving a Ted Talk about Wrestlemania",2026-09-05 16:16:00.328,"Markwayne Mullin"
"My man looks like he's doing damage control for Frito Lay",2026-09-05 16:18:03.626,"Markwayne Mullin"
"My man looks like a lesser-known Wahlberg",2026-09-05 16:28:56.861,"Markwayne Mullin"
"My man looks like he had a wedding registry at Buc-ee's",2026-09-05 16:40:07.559,"Markwayne Mullin"
"My man looks like he got a DUI riding a Troy-Bilt on the interstate",2026-09-05 16:44:21.866,"Markwayne Mullin"
"My man looks like he has repeatedly tased himself by accident",2026-09-05 16:45:33.36,"Markwayne Mullin"
"My man looks like he has repeatedly tased himself on purpose",2026-09-05 16:45:42.585,"Markwayne Mullin"
"My man looks like a lawyer for Cracker Barrel",2026-09-05 16:46:59.359,"Markwayne Mullin"
"My man looks like a relief pitcher whose walk-on music is Lee Greenwood",2026-09-05 16:48:09.971,"Markwayne Mullin"
"My man looks like a plumber who's been targeted by Angie's Blacklist",2026-09-05 16:49:14.485,"Markwayne Mullin"
"My man looks like the referee for an underground MMA club",2026-09-05 16:49:43.789,"Markwayne Mullin"
